Sample Number (10 samples per second),t (c)
995,24.68
996,24.68
997,24.68
998,24.68
999,24.68
1000,24.68
1001,24.68
1002,24.68
1003,24.68
1004,24.68
1005,24.68
1006,24.68
1007,24.619999
1008,24.68
1009,24.68
1010,24.68
1011,24.68
1012,24.619999
1013,24.619999
1014,24.68
1015,24.619999
1016,24.619999
1017,24.619999
1018,24.619999
1019,24.619999
1020,24.619999
1021,24.619999
1022,24.619999
1023,24.619999
1024,24.619999
1025,24.619999
1026,24.619999
1027,24.619999
1028,24.619999
1029,24.619999
1030,24.619999
1031,24.619999
1032,24.619999
1033,24.619999
1034,24.619999
1035,24.619999
1036,24.619999
1037,24.619999
1038,24.619999
1039,24.619999
1040,24.619999
1041,24.619999
1042,24.619999
1043,24.619999
1044,24.619999
1045,24.619999
1046,24.619999
1047,24.619999
1048,24.619999
1049,24.56
1050,24.619999
1051,24.619999
1052,24.56
1053,24.56
1054,24.56
1055,24.56
1056,24.619999
1057,24.56
1058,24.56
1059,24.56
1060,24.56
1061,24.56
1062,24.56
1063,24.56
1064,24.56
1065,24.56
1066,24.56
1067,24.56
1068,24.56
1069,24.56
1070,24.56
1071,24.56
1072,24.56
1073,24.56
1074,24.56
1075,24.56
1076,24.56
1077,24.56
1078,24.56
1079,24.56
1080,24.56
1081,24.56
1082,24.56
1083,24.56
1084,24.56
1085,24.56
1086,24.56
1087,24.56
1088,24.56
1089,24.56
1090,24.56
1091,24.56
1092,24.56
1093,24.56
1094,24.56
1095,24.56
1096,24.5
1097,24.56
1098,24.5
1099,24.5
1100,24.5
1101,24.5
1102,24.5
1103,24.5
1104,24.5
1105,24.5
1106,24.5
1107,24.5
1108,24.5
1109,24.5
1110,24.5
1111,24.5
1112,24.5
1113,24.5
1114,24.5
1115,24.5
1116,24.5
1117,24.5
1118,24.5
1119,24.5
1120,24.5
1121,24.5
1122,24.5
1123,24.5
1124,24.5
1125,24.5
1126,24.5
1127,24.5
1128,24.5
1129,24.5
1130,24.5
1131,24.5
1132,24.5
1133,24.5
1134,24.5
1135,24.5
1136,24.5
1137,24.5
1138,24.5
1139,24.56
1140,24.56
1141,24.5
1142,24.56
1143,24.56
1144,24.56
1145,24.56
1146,24.56
1147,24.56
1148,24.56
1149,24.56
1150,24.56
1151,24.56
1152,24.56
1153,24.56
1154,24.56
1155,24.619999
1156,24.619999
1157,24.619999
1158,24.619999
1159,24.619999
1160,24.619999
1161,24.619999
1162,24.619999
1163,24.619999
1164,24.619999
1165,24.68
1166,24.68
1167,24.68
1168,24.68
1169,24.68
1170,24.68
1171,24.68
1172,24.68
1173,24.68
1174,24.68
1175,24.68
1176,24.75
1177,24.75
1178,24.75
1179,24.75
1180,24.75
1181,24.75
1182,24.75
1183,24.75
1184,24.81
1185,24.81
1186,24.81
1187,24.81
1188,24.81
1189,24.81
1190,24.81
1191,24.81
1192,24.869999
1193,24.869999
1194,24.869999
1195,24.869999
1196,24.869999
1197,24.869999
1198,24.869999
1199,24.869999
1200,24.869999
1201,24.93
1202,24.93
1203,24.93
1204,24.93
1205,24.93
1206,24.93
1207,24.93
1208,25.0
1209,25.0
1210,25.0
1211,25.0
1212,25.0
1213,25.0
1214,25.06
1215,25.06
1216,25.06
1217,25.06
1218,25.06
1219,25.06
1220,25.119999
1221,25.119999
1222,25.119999
1223,25.119999
1224,25.119999
1225,25.119999
1226,25.119999
1227,25.119999
1228,25.119999
1229,25.18
1230,25.18
1231,25.18
1232,25.18
1233,25.18
1234,25.18
1235,25.25
1236,25.25
1237,25.25
1238,25.25
1239,25.25
1240,25.25
1241,25.31
1242,25.25
1243,25.31
1244,25.31
1245,25.31
1246,25.31
1247,25.31
1248,25.31
1249,25.31
1250,25.31
1251,25.31
1252,25.369999
1253,25.369999
1254,25.369999
1255,25.369999
1256,25.369999
1257,25.369999
1258,25.369999
1259,25.369999
1260,25.369999
1261,25.369999
1262,25.369999
1263,25.43
1264,25.43
1265,25.43
1266,25.43
1267,25.43
1268,25.43
1269,25.43
1270,25.43
1271,25.43
1272,25.43
1273,25.43
1274,25.43
1275,25.43
1276,25.43
1277,25.5
1278,25.43
1279,25.5
1280,25.5
1281,25.5
1282,25.5
1283,25.5
1284,25.5
1285,25.5
1286,25.5
1287,25.5
1288,25.5
1289,25.5
1290,25.5
1291,25.5
1292,25.5
1293,25.5
1294,25.5
1295,25.5
1296,25.5
1297,25.5
1298,25.5
1299,25.5
1300,25.5
1301,25.5
1302,25.5
1303,25.5
1304,25.5
1305,25.5
1306,25.5
1307,25.56
1308,25.56
1309,25.56
1310,25.5
1311,25.56
1312,25.5
1313,25.5
1314,25.56
1315,25.56
1316,25.56
1317,25.56
1318,25.56
1319,25.56
1320,25.56
1321,25.56
1322,25.56
1323,25.56
1324,25.56
1325,25.56
1326,25.56
1327,25.56
1328,25.56
1329,25.56
1330,25.56
1331,25.56
1332,25.56
1333,25.56
1334,25.56
1335,25.56
1336,25.56
1337,25.56
1338,25.56
1339,25.56
1340,25.56
1341,25.56
1342,25.56
1343,25.5
1344,25.56
1345,25.56
1346,25.56
1347,25.56
1348,25.5
1349,25.56
1350,25.5
1351,25.56
1352,25.5
1353,25.5
1354,25.56
1355,25.5
1356,25.5
1357,25.5
1358,25.5
1359,25.5
1360,25.5
1361,25.5
1362,25.5
1363,25.5
1364,25.5
1365,25.5
1366,25.5
1367,25.5
1368,25.5
1369,25.5
1370,25.5
1371,25.5
1372,25.5
1373,25.5
1374,25.5
1375,25.5
1376,25.5
1377,25.5
1378,25.5
1379,25.5
1380,25.5
1381,25.5
1382,25.5
1383,25.5
1384,25.5
1385,25.5
1386,25.5
1387,25.5
1388,25.43
1389,25.43
1390,25.5
1391,25.43
1392,25.43
1393,25.43
1394,25.43
1395,25.5
1396,25.43
1397,25.43
1398,25.43
1399,25.43
1400,25.43
1401,25.43
1402,25.43
1403,25.43
1404,25.43
1405,25.43
1406,25.43
1407,25.43
1408,25.43
1409,25.43
1410,25.43
1411,25.43
1412,25.43
1413,25.43
1414,25.43
1415,25.43
1416,25.43
1417,25.43
1418,25.43
1419,25.43
1420,25.43
1421,25.43
1422,25.43
1423,25.43
1424,25.43
1425,25.369999
1426,25.369999
1427,25.369999
1428,25.369999
1429,25.369999
1430,25.369999
1431,25.369999
1432,25.369999
1433,25.369999
1434,25.369999
1435,25.369999
1436,25.369999
1437,25.369999
1438,25.369999
1439,25.369999
1440,25.369999
1441,25.369999
1442,25.369999
1443,25.369999
1444,25.369999
1445,25.369999
1446,25.369999
1447,25.369999
1448,25.369999
1449,25.369999
1450,25.31
1451,25.31
1452,25.369999
1453,25.369999
1454,25.369999
1455,25.31
1456,25.31
1457,25.31
1458,25.31
1459,25.31
1460,25.31
1461,25.31
1462,25.31
1463,25.31
1464,25.31
1465,25.31
1466,25.31
1467,25.31
1468,25.31
1469,25.31
1470,25.31
1471,25.31
1472,25.31
1473,25.31
1474,25.31
1475,25.31
1476,25.31
1477,25.31
1478,25.31
1479,25.31
1480,25.31
1481,25.25
1482,25.31
1483,25.31
1484,25.25
1485,25.25
1486,25.25
1487,25.25
1488,25.25
1489,25.25
1490,25.25
1491,25.25
1492,25.25
1493,25.25
1494,25.25
1495,25.25
1496,25.25
1497,25.25
1498,25.25
1499,25.25
1500,25.25
1501,25.25
1502,25.25
1503,25.25
1504,25.25
1505,25.25
1506,25.25
1507,25.25
1508,25.25
1509,25.18
1510,25.18
1511,25.18
1512,25.18
1513,25.18
